No.;Time;Comment;Scramble;Date;P.1
46;7.31;;B2 L2 U' R2 D F2 U2 L2 B' U' R2 F' D R D B' L2 U;2023-07-20 16:44:19;7.31
47;8.57;;F L D' B2 D U2 L2 D U' R2 B2 U' L R' F' L' U' B L' F;2023-07-20 16:44:47;8.57
48;9.34;;B U2 R' F R F B2 U F2 R U2 R' F2 L' U2 L D2 R2 U;2023-07-20 16:45:16;9.34
49;8.81;;L' F D2 R' F' U D' F2 U2 R' D2 F2 B2 R B2 R2 D2 R' U2 D B';2023-07-20 16:45:44;8.81
50;9.90;;B2 F2 U L2 R2 U2 B2 R2 B2 R2 D' L D2 B' F2 U2 L D F2 R2 B;2023-07-20 16:46:14;9.90
51;9.81;;F B D2 B' L U2 B' U L' U2 F2 R' F2 D2 F2 R U2 D2 L' F2;2023-07-20 16:46:43;9.81
52;8.87;;L F' U F' R' F R' B2 R U R2 U F2 L2 U2 F2 R2 U' R2 U2;2023-07-20 16:47:09;8.87
53;7.63;;U F' L2 R2 D2 U2 B2 D2 R2 B U2 F' L B2 D B2 D' F D' R;2023-07-20 16:47:29;7.63
54;7.56;;U' F' D B2 F2 L2 D' L2 D2 L2 R2 U' R2 B2 L D2 U' R U' B2 U;2023-07-20 16:47:55;7.56
55;6.31;;D F2 U2 F' L F2 B D B D R2 U' R2 D B2 U R2 U2 B2 R2;2023-07-20 16:48:42;6.31
56;8.67;;F2 U L2 U2 R2 B' L2 B' R2 F2 D2 F U2 R2 U' L' F2 R' B' D B2;2023-07-20 16:49:07;8.67
57;7.89;;U2 D R' D2 L2 B L R2 D B2 U R2 L2 U R2 U' D' F2 L2 F' D';2023-07-20 16:49:36;7.89
58;8.17;;D2 R' F2 L2 F2 R' D2 B2 R' B2 L2 R' F D' B2 F2 R F' L' D U;2023-07-20 16:50:01;8.17
59;8.02;;R2 D2 B2 R2 D2 B' D2 L2 U2 B2 R D' B2 L R U' B F U2 R2;2023-07-20 16:50:27;8.02
60;9.29;;U2 D' R B2 U' F' L' D R L' B2 R' U2 B2 R U2 B2 L D2 R F';2023-07-21 13:32:40;9.29
61;12.08;;U' F2 U' R2 U B2 L2 R2 U2 R2 F U2 L R' U' F D U' B F2;2023-07-21 13:33:14;12.08
62;7.77;;L B' L' F' R F U2 L' U F2 U' L2 D' F2 D R2 B2 D2 R2;2023-07-21 13:33:44;7.77
63;7.67;;D L2 D L2 R2 F2 D' R2 U' B2 R2 F2 L' U' R2 B2 R' U F R';2023-07-21 13:36:13;7.67
64;8.38;;F2 U F L D R' B' U F' R2 B2 D2 L' U2 B2 R2 B2 L2 D2 R2;2023-07-21 13:36:44;8.38
65;10.25;;U2 L U2 F2 U2 L2 R' F2 U2 R' U' F2 L' R' D F L B U2;2023-07-21 13:37:24;10.25
66;7.19;;B2 L2 F' D' B' D B L U F2 U2 F2 U2 R2 U2 R U2 D2 F2 R;2023-07-21 13:37:52;7.19
67;8.68;;U' R' B' D' L2 U2 F2 L2 B2 D F2 U F2 U' L U' R B D L F';2023-07-21 13:38:20;8.68
68;8.21;;B' R2 D2 B' U2 R2 F' R2 U2 L2 U L F D' U' L B L2 R2 F;2023-07-21 13:38:56;8.21
69;8.06;;F U L2 D2 B' U2 B' R2 B2 F' D2 R2 F D F' L U R F2 L2 F;2023-07-21 13:39:21;8.06
70;9.68;;U2 F2 L2 F2 R2 U2 F2 U' F2 D B2 R B' U L2 B L' F' L' D U2;2023-07-21 13:40:09;9.68
71;8.24;;F B2 R' U' F' R L' B2 R2 L2 U2 B2 L2 D L2 U2 B2 U2 R B2;2023-07-21 13:40:36;8.24
72;8.57;;D L F2 B' R' D' F2 L2 D B R2 U2 F2 U2 F' B2 D2 R2 U2 R2 B;2023-07-21 13:41:38;8.57
73;8.38;;R' B2 F2 D2 B2 L2 R2 U F2 D B2 R' B' F' L D' L R F R2;2023-07-21 13:42:05;8.38
74;11.21;;D B' R' U F2 D2 F U2 L U F2 U2 F2 R2 U F2 D';2023-07-21 13:42:32;11.21
75;8.41;;U2 L2 F' R2 U R L' F L U D F2 D2 F2 R2 D' R2 L2 U';2023-07-21 13:43:18;8.41
76;8.96;;L2 F2 R2 B D2 B' D2 B2 U2 B' L2 R' F' U' B D' L' B F' R2;2023-07-21 13:43:44;8.96
77;8.87;;B2 D2 R B' R2 L' D B R U2 F L2 F2 U2 F' D2 F' D2 F' D2 B;2023-07-21 13:44:11;8.87
78;10.29;;L' F2 L R B2 U2 L' D2 L' U2 D' B' R2 U L2 B L B2 F';2023-07-21 13:44:37;10.29
79;10.13;;R' B' U' L2 F2 D F2 D L2 D F2 D' F2 B R2 F2 D2 R' U F2;2023-07-21 13:45:16;10.13
80;8.62;;F' B2 L' F2 R B2 L' B2 L2 B2 F2 L' U R' F' D B' F' U' F2 R;2023-07-21 13:45:45;8.62
81;8.48;;B D' L' U F R2 U2 B2 L' F' R2 L2 B U2 L2 B L2 D2 F2 R2 F';2023-07-21 13:47:21;8.48
82;6.94;;R' L2 B L2 B2 D2 B R2 B2 D2 R2 U2 D' L R' B2 D F' R D2;2023-07-21 13:47:47;6.94
83;7.99;;U' D2 L B2 D2 L' F2 R B2 L' U2 B2 L2 F' L F R2 B2 F U' B;2023-07-21 13:48:12;7.99
84;8.09;;R' F2 D U2 R2 U2 L2 B2 D B2 R2 U2 R' B D' R2 F D2 U2 B D2;2023-07-21 13:48:34;8.09
85;8.07;;B' R2 U2 B' R2 U2 B' F' D2 L2 D2 F' U B' R' D U L D U' F2;2023-07-21 13:49:02;8.07
86;7.27;;U2 F' L U L U B2 U' B F2 R' U2 F2 R L D2 B2 R' B2;2023-07-21 13:49:34;7.27
87;9.52;;L2 F2 L2 F R2 D2 U2 F U2 B' D2 F' D L2 R U' R' F U R B;2023-07-21 13:50:02;9.52
88;11.35;;F' U R2 D2 U F2 U' L2 D' F2 R2 U L' F' L' B2 U2 L' B F2 D;2023-07-21 13:50:35;11.35
89;6.67;;R' F B2 D' F2 D R2 B2 D2 L2 D B2 D2 U' B F2 R2 B L' U F';2023-07-21 13:51:06;6.67
90;9.05;;B R2 F R2 U2 F D2 F' R2 D2 R2 F D L2 U B L R' D' B' R2;2023-07-21 13:51:35;9.05
91;8.51;;D F2 R2 D R2 B2 U R2 B2 L2 U' L B' F' U' L U2 F R2;2023-07-21 13:52:01;8.51
92;8.67;;F2 D F2 U' F2 L2 D U2 F2 D F' D2 L B' U2 R2 B' R' U;2023-07-21 13:52:24;8.67
93;10.09;;D2 L2 U2 B R2 B2 F U2 F2 U2 D' B' F L F D2 R2 D' F2;2023-07-21 13:52:53;10.09
94;9.07;;D' R2 U' B2 U B2 D B2 L2 B2 R2 D' F U' L2 B2 D' L' U' L' R2;2023-07-21 13:53:16;9.07
95;8.92;;U' R' B' U2 L2 F' L2 D2 B2 U2 F2 R2 F R' U B' D B2 R' B F2;2023-07-21 13:53:40;8.92
96;8.80;;F U2 F U R2 F R' L2 F U F2 R2 U2 R2 B2 U2 R2 B2 R2 B2 U';2023-07-21 13:54:09;8.80
97;6.27;;U' L2 F2 D B2 F2 U B2 R2 U L2 D L F' L' D' B R' B D';2023-07-21 13:54:35;6.27
98;7.57;;U' F L2 B D2 L2 D2 F' R2 B' D2 R' U2 F' R2 U R D;2023-07-21 13:55:02;7.57
99;8.36;;F2 D' U2 R' U2 B2 L' D2 F2 R' U2 B2 U2 R2 B' D R D2 B2 L D';2023-07-21 13:55:24;8.36
100;6.86;;R' L2 U B2 F2 U2 F2 D F2 D F2 U2 R B' F' U' L2 R U';2023-07-21 13:55:50;6.86
